
2024/08/12 (00:54:20) | ===> btop++ v.1.3.2
2024/08/12 (00:54:20) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/02/01 (03:21:02) | ===> btop++ v.1.4.0
2025/02/01 (03:21:02) | WARNING: Failed to get disk/partition stats for mount "/mnt/data" with statvfs error code: 112. Ignoring...
2025/02/01 (03:21:02) | WARNING: Failed to get disk/partition stats for mount "/mnt/media" with statvfs error code: 112. Ignoring...

2025/02/03 (22:55:06) | ===> btop++ v.1.4.0
2025/02/03 (22:55:06) | ERROR: Stall in Runner thread, restarting!
2025/02/03 (22:55:06) | WARNING: Failed to join _runner thread on exit!

2025/02/03 (22:55:14) | ===> btop++ v.1.4.0
2025/02/03 (22:55:14) | ERROR: Stall in Runner thread, restarting!

2025/03/10 (15:54:40) | ===> btop++ v.1.4.0
2025/03/10 (15:54:40) | WARNING: Failed to get disk/partition stats for mount "/mnt/data" with statvfs error code: 112. Ignoring...
2025/03/10 (15:54:40) | WARNING: Failed to get disk/partition stats for mount "/mnt/media" with statvfs error code: 112. Ignoring...
